,Nome,Sobrenome,Nacionalidade,Posição,Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assistências,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
151,Carlos,Baleba, CMR,LT,Lille, Ligue 1,19,2004,2,1,61.0,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",1.0,3.0,1.0,"0,00","0,00","0,00","0,00","0,00","0,05","0,00","0,05","0,05","0,05"
152,Leonardo,Balerdi, ARG,ZG,Marseille, Ligue 1,24,1999,12,11,939.0,10.4,1,0,1,1,0,0,3,3,0.3,0.3,0.0,"0,3",8.0,46.0,2.0,"0,10","0,00","0,10","0,10","0,10","0,03","0,00","0,03","0,03","0,03"
153,Iván,Balliu, ALB,ZG,Rayo Vallecano, La Liga,31,1992,15,15,1341.0,14.9,0,0,0,0,0,0,1,1,0.2,0.2,0.7,"0,9",22.0,46.0,40.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,05","0,06","0,01","0,06"
154,Fodé,Ballo-Touré, SEN,ZG,Fulham,Premier League,26,1997,3,0,44.0,0.5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,"0,0",5.0,0.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
155,Folarin,Balogun, USA,AT,Monaco, Ligue 1,22,2001,14,11,900.0,10.0,4,3,7,4,0,2,1,1,4.5,2.9,1.5,"4,4",23.0,18.0,118.0,"0,40","0,30","0,70","0,40","0,70","0,45","0,15","0,60","0,29","0,44"
156,Jonathan,Bamba, CIV,"LT,AT",Celta Vigo, La Liga,27,1996,18,17,1406.0,15.6,2,1,3,2,0,0,0,0,2.5,2.5,3.1,"5,6",78.0,48.0,129.0,"0,13","0,06","0,19","0,13","0,19","0,16","0,20","0,36","0,16","0,36"
157,Samuel,Bamba, GER,AT,Dortmund, Bundesliga,19,2004,2,0,47.0,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0.1,"0,3",5.0,2.0,7.0,"0,00","0,00","0,00","0,00","0,00","0,51","0,15","0,67","0,51","0,67"
158,Lameck,Banda, ZAM,AT,Lecce, Serie A,22,2001,13,12,965.0,10.7,2,4,6,2,0,0,3,3,2.3,2.3,1.6,"3,9",54.0,18.0,108.0,"0,19","0,37","0,56","0,19","0,56","0,22","0,15","0,37","0,22","0,37"
159,Mamady,Bangré, BFA,"AT,LT",Toulouse, Ligue 1,22,2001,8,0,101.0,1.1,0,1,1,0,0,0,2,2,0.1,0.1,0.7,"0,8",10.0,9.0,12.0,"0,00","0,89","0,89","0,00","0,89","0,12","0,59","0,71","0,12","0,71"
160,Mattia,Bani, ITA,ZG,Genoa, Serie A,30,1993,13,13,1052.0,11.7,1,0,1,1,0,0,6,6,0.8,0.8,0.0,"0,8",3.0,15.0,3.0,"0,09","0,00","0,09","0,09","0,09","0,07","0,00","0,07","0,07","0,07"
161,Léo,Baptistão, BRA,"AT,LT",Almería, La Liga,31,1992,15,10,848.0,9.4,4,0,4,4,0,0,4,4,3.3,3.3,0.5,"3,8",9.0,19.0,39.0,"0,42","0,00","0,42","0,42","0,42","0,35","0,05","0,40","0,35","0,40"
162,Shandon,Baptiste, GRN,LT,Brentford,Premier League,25,1998,5,2,191.0,2.1,1,0,1,1,0,0,0,0,0.7,0.7,0.1,"0,8",1.0,1.0,0.0,"0,47","0,00","0,47","0,47","0,47","0,33","0,05","0,38","0,33","0,38"
163,Antonín,Barák, CZE,LT,Fiorentina, Serie A,29,1994,6,2,210.0,2.3,0,0,0,0,0,0,1,1,0.3,0.3,0.0,"0,3",6.0,8.0,21.0,"0,00","0,00","0,00","0,00","0,00","0,13","0,00","0,13","0,13","0,13"
164,Francisco,Barbosa, ESP,G,Betis, La Liga,24,1999,3,2,225.0,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
165,Bradley,Barcola, FRA,AT,Lyon, Ligue 1,21,2002,3,3,270.0,3.0,0,0,0,0,0,0,1,1,0.1,0.1,0.3,"0,4",11.0,9.0,31.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,10","0,12","0,02","0,12"
166,Bradley,Barcola, FRA,"LT,AT",Paris S-G, Ligue 1,21,2002,13,8,608.0,6.8,1,2,3,1,0,0,1,1,1.8,1.8,1.5,"3,3",45.0,32.0,112.0,"0,15","0,30","0,44","0,15","0,44","0,27","0,23","0,50","0,27","0,50"
167,Melvin,Bard, FRA,ZG,Nice, Ligue 1,23,2000,17,17,1417.0,15.7,0,2,2,0,0,0,4,4,0.2,0.2,2.1,"2,3",35.0,60.0,43.0,"0,00","0,13","0,13","0,00","0,13","0,01","0,14","0,15","0,01","0,15"
168,Nicolò,Barella, ITA,LT,Inter, Serie A,26,1997,17,16,1315.0,14.6,2,3,5,2,0,0,3,3,2.4,2.4,1.8,"4,2",35.0,152.0,67.0,"0,14","0,21","0,34","0,14","0,34","0,16","0,12","0,29","0,16","0,29"
169,Kike,Barja, ESP,"AT,LT",Osasuna, La Liga,26,1997,11,2,251.0,2.8,0,0,0,0,0,0,2,2,0.1,0.1,0.5,"0,6",15.0,5.0,34.0,"0,00","0,00","0,00","0,00","0,00","0,03","0,16","0,20","0,03","0,20"
170,Ross,Barkley,ENG,LT,Luton Town,Premier League,30,1993,12,10,895.0,9.9,1,1,2,1,0,0,3,3,1.0,1.0,1.5,"2,5",14.0,49.0,11.0,"0,10","0,10","0,20","0,10","0,20","0,10","0,15","0,25","0,10","0,25"
171,Aymen,Barkok, MAR,"LT,AT",Mainz 05, Bundesliga,25,1998,13,1,321.0,3.6,1,0,1,1,0,1,2,2,1.7,0.9,0.3,"1,2",14.0,16.0,33.0,"0,28","0,00","0,28","0,28","0,28","0,48","0,07","0,55","0,26","0,33"
172,Harvey,Barnes,ENG,AT,Newcastle Utd,Premier League,26,1997,6,2,187.0,2.1,1,1,2,1,0,0,1,1,0.7,0.7,0.9,"1,6",15.0,5.0,16.0,"0,48","0,48","0,96","0,48","0,96","0,35","0,42","0,76","0,35","0,76"
173,Leandro,Barreiro Martins, LUX,LT,Mainz 05, Bundesliga,23,2000,14,14,1249.0000000000002,13.9,2,0,2,2,0,0,4,4,2.1,2.1,0.5,"2,6",9.0,48.0,21.0,"0,14","0,00","0,14","0,14","0,14","0,15","0,04","0,19","0,15","0,19"
174,Enzo,Barrenechea, ARG,LT,Frosinone, Serie A,22,2001,16,15,1264.0,14.0,0,0,0,0,0,0,6,6,0.4,0.4,0.3,"0,6",3.0,64.0,15.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,02","0,05","0,02","0,05"
175,Ander,Barrenetxea, ESP,"AT,LT",Real Sociedad, La Liga,21,2001,14,12,821.0,9.1,3,1,4,3,0,0,0,0,2.3,2.3,1.0,"3,3",32.0,18.0,91.0,"0,33","0,11","0,44","0,33","0,44","0,25","0,11","0,36","0,25","0,36"
176,Pablo,Barrios, ESP,LT,Atlético Madrid, La Liga,20,2003,9,5,564.0,6.3,0,1,1,0,0,0,2,2,0.2,0.2,1.2,"1,4",20.0,42.0,16.0,"0,00","0,16","0,16","0,00","0,16","0,03","0,19","0,22","0,03","0,22"
177,Davide,Bartesaghi, ITA,"ZG,LT",Milan, Serie A,17,2005,4,0,49.0,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,1.0,3.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
178,Marc,Bartra, ESP,ZG,Betis, La Liga,32,1991,3,3,225.0,2.5,0,0,0,0,0,0,1,1,0.2,0.2,0.0,"0,2",2.0,5.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,08","0,00","0,08","0,08","0,08"
179,Federico,Baschirotto, ITA,ZG,Lecce, Serie A,27,1996,16,16,1403.9999999999998,15.6,0,1,1,0,0,0,1,1,0.5,0.5,0.7,"1,1",16.0,43.0,2.0,"0,00","0,06","0,06","0,00","0,06","0,03","0,04","0,07","0,03","0,07"
180,Chris,Basham,ENG,"ZG,LT",Sheffield Utd,Premier League,35,1988,8,3,321.0,3.6,0,0,0,0,0,0,1,1,0.1,0.1,0.3,"0,4",1.0,7.0,6.0,"0,00","0,00","0,00","0,00","0,00","0,04","0,07","0,10","0,04","0,10"
181,Calvin,Bassey, NGA,ZG,Fulham,Premier League,23,1999,13,10,937.0,10.4,0,0,0,0,0,0,3,3,0.0,0.0,0.0,"0,0",3.0,22.0,4.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
182,Alessandro,Bastoni, ITA,ZG,Inter, Serie A,24,1999,12,12,985.0,10.9,0,0,0,0,0,0,3,3,0.1,0.1,1.6,"1,7",22.0,46.0,37.0,"0,00","0,00","0,00","0,00","0,00","0,01","0,14","0,16","0,01","0,16"
183,Simone,Bastoni, ITA,"ZG,LT",Empoli, Serie A,27,1996,7,3,340.0,3.8,0,0,0,0,0,0,1,1,0.1,0.1,0.3,"0,4",6.0,12.0,15.0,"0,00","0,00","0,00","0,00","0,00","0,03","0,08","0,11","0,03","0,11"
184,Daniel,Batz, GER,G,Mainz 05, Bundesliga,32,1991,4,4,360.0,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,"0,0",0.0,0.0,0.0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
185,Maximilian,Bauer, GER,ZG,Augsburg, Bundesliga,23,2000,8,5,493.0,5.5,1,0,1,1,0,0,1,1,1.4,1.4,0.0,"1,4",0.0,11.0,0.0,"0,18","0,00","0,18","0,18","0,18","0,25","0,00","0,25","0,25","0,25"
